,precision,recall,f1-score,support
white,0.9522338892320362,0.9385146103896104,0.9453244762391415,4928.0
black,0.9145161290322581,0.9429046563192904,0.9284934497816594,1804.0
asian,0.9370188943317005,0.9550641940085592,0.9459554927587426,1402.0
indian,0.9067114093959732,0.8539823008849557,0.8795572916666666,1582.0
others,0.6963350785340314,0.7777777777777778,0.7348066298342542,684.0
accuracy,0.9180769230769231,0.9180769230769231,0.9180769230769231,0.9180769230769231
macro avg,0.8813630801051998,0.8936487078760388,0.8868274680560928,10400.0
weighted avg,0.9198852727061942,0.9180769230769231,0.9186402089791977,10400.0
