,precision,recall,f1-score,support
male,0.9491376275959169,0.979121278140886,0.9638963360142985,5508.0
female,0.9756252649427724,0.9409239574816026,0.9579604578563996,4892.0
accuracy,0.9611538461538461,0.9611538461538461,0.9611538461538461,0.9611538461538461
macro avg,0.9623814462693446,0.9600226178112443,0.960928396935349,10400.0
weighted avg,0.9615970047017648,0.9611538461538461,0.9611041902500252,10400.0
