,precision,recall,f1-score,support
male,0.8840499816244028,0.8886220908755079,0.8863301400147384,5414.0
female,0.8775883069427527,0.8726281792490916,0.8751012145748988,4954.0
accuracy,0.8809799382716049,0.8809799382716049,0.8809799382716049,0.8809799382716049
macro avg,0.8808191442835778,0.8806251350622998,0.8807156772948186,10368.0
weighted avg,0.8809624877612763,0.8809799382716049,0.8809647757565434,10368.0
