,precision,recall,f1-score,support
white,0.8844292053247277,0.8965446738908198,0.8904457305310184,4891.0
black,0.8683060109289618,0.8407407407407408,0.8543010752688173,1890.0
asian,0.8488372093023255,0.8439306358381503,0.8463768115942029,1384.0
indian,0.7221542227662179,0.7692307692307693,0.7449494949494949,1534.0
others,0.5245614035087719,0.4469357249626308,0.4826472962066182,669.0
accuracy,0.8315007716049383,0.8315007716049383,0.8315007716049383,0.8315007716049383
macro avg,0.769657610366201,0.7594765089326222,0.7637440817100304,10368.0
weighted avg,0.8295089176547208,0.8315007716049383,0.8301338902340282,10368.0
