,precision,recall,f1-score,support
white,0.9010767160161507,0.9077966101694915,0.9044241810199256,2950.0
black,0.9139941690962099,0.8918918918918919,0.9028077753779697,1406.0
asian,0.8821218074656189,0.8891089108910891,0.8856015779092702,1010.0
indian,0.7862595419847328,0.8380797396257119,0.8113430484442694,1229.0
others,0.7106481481481481,0.6031434184675835,0.6524973432518597,509.0
accuracy,0.8681024774774775,0.8681024774774775,0.8681024774774775,0.8681024774774775
macro avg,0.8388200765421722,0.8260041142091534,0.831334785200659,7104.0
weighted avg,0.867430746627792,0.8681024774774775,0.8672745515388194,7104.0
