,precision,recall,f1-score,support
male,0.919823559937727,0.9588855829050582,0.9389484836445504,3697.0
female,0.9532307692307692,0.9093043733489874,0.9307495869010064,3407.0
accuracy,0.9351069819819819,0.9351069819819819,0.9351069819819819,0.9351069819819819
macro avg,0.9365271645842481,0.9340949781270228,0.9348490352727784,7104.0
weighted avg,0.9358452888315045,0.9351069819819819,0.9350163832496666,7104.0
